source,target,t_start,t_end,weight,directed
0,7,206,207,20.0,False
0,7,209,210,20.0,False
0,7,210,211,20.0,False
0,7,211,212,20.0,False
0,7,212,213,20.0,False
0,7,213,214,20.0,False
0,7,214,215,20.0,False
0,7,246,247,20.0,False
0,7,255,256,20.0,False
0,11,260,261,20.0,False
0,11,280,281,20.0,False
0,7,280,281,20.0,False
0,7,281,282,20.0,False
0,11,286,287,20.0,False
0,11,287,288,20.0,False
0,11,288,289,20.0,False
0,11,289,290,20.0,False
0,11,290,291,20.0,False
0,11,291,292,20.0,False
0,11,292,293,20.0,False
0,11,293,294,20.0,False
0,11,294,295,20.0,False
0,11,295,296,20.0,False
0,11,296,297,20.0,False
0,11,297,298,20.0,False
0,11,298,299,20.0,False
0,11,299,300,20.0,False
0,7,306,307,20.0,False
0,7,328,329,20.0,False
0,7,351,352,20.0,False
0,7,353,354,20.0,False
0,7,354,355,20.0,False
0,7,368,369,20.0,False
0,28,404,405,20.0,False
0,28,405,406,20.0,False
0,128,413,414,20.0,False
0,128,415,416,20.0,False
0,124,416,417,20.0,False
0,128,416,417,20.0,False
0,124,417,418,20.0,False
0,124,418,419,20.0,False
0,124,419,420,20.0,False
0,28,419,420,20.0,False
0,124,420,421,20.0,False
0,28,420,421,20.0,False
0,28,421,422,20.0,False
0,28,422,423,20.0,False
0,28,424,425,20.0,False
0,28,426,427,20.0,False
0,28,427,428,20.0,False
0,28,428,429,20.0,False
0,28,430,431,20.0,False
0,28,431,432,20.0,False
0,28,433,434,20.0,False
0,28,437,438,20.0,False
0,28,440,441,20.0,False
0,28,441,442,20.0,False
0,7,442,443,20.0,False
0,7,443,444,20.0,False
0,45,444,445,20.0,False
0,7,450,451,20.0,False
0,11,450,451,20.0,False
0,7,451,452,20.0,False
0,11,454,455,20.0,False
0,11,462,463,20.0,False
0,11,465,466,20.0,False
0,11,512,513,20.0,False
0,7,556,557,20.0,False
0,11,568,569,20.0,False
0,11,581,582,20.0,False
0,11,587,588,20.0,False
0,11,629,630,20.0,False
0,11,630,631,20.0,False
0,11,641,642,20.0,False
0,11,685,686,20.0,False
0,11,693,694,20.0,False
0,11,697,698,20.0,False
0,11,721,722,20.0,False
0,11,722,723,20.0,False
0,11,723,724,20.0,False
0,11,726,727,20.0,False
0,11,733,734,20.0,False
0,11,779,780,20.0,False
0,7,779,780,20.0,False
0,114,803,804,20.0,False
0,114,806,807,20.0,False
0,28,912,913,20.0,False
0,114,935,936,20.0,False
0,114,939,940,20.0,False
0,28,940,941,20.0,False
0,114,941,942,20.0,False
0,114,942,943,20.0,False
0,114,943,944,20.0,False
0,114,944,945,20.0,False
0,28,945,946,20.0,False
0,28,953,954,20.0,False
0,28,954,955,20.0,False
0,114,954,955,20.0,False
0,28,955,956,20.0,False
0,114,955,956,20.0,False
0,114,956,957,20.0,False
0,28,957,958,20.0,False
0,124,957,958,20.0,False
0,114,957,958,20.0,False
0,124,958,959,20.0,False
0,114,958,959,20.0,False
0,114,959,960,20.0,False
0,124,961,962,20.0,False
0,124,962,963,20.0,False
0,114,962,963,20.0,False
0,114,963,964,20.0,False
0,114,964,965,20.0,False
0,47,969,970,20.0,False
0,74,1150,1151,20.0,False
0,14,1157,1158,20.0,False
0,45,1158,1159,20.0,False
0,168,1159,1160,20.0,False
0,11,1161,1162,20.0,False
0,68,1161,1162,20.0,False
0,11,1164,1165,20.0,False
0,11,1172,1173,20.0,False
0,11,1186,1187,20.0,False
0,11,1217,1218,20.0,False
0,11,1223,1224,20.0,False
0,7,1223,1224,20.0,False
0,11,1225,1226,20.0,False
0,7,1229,1230,20.0,False
0,7,1230,1231,20.0,False
0,11,1231,1232,20.0,False
0,11,1232,1233,20.0,False
0,11,1234,1235,20.0,False
0,11,1235,1236,20.0,False
0,11,1238,1239,20.0,False
0,11,1239,1240,20.0,False
0,11,1242,1243,20.0,False
0,11,1262,1263,20.0,False
0,11,1263,1264,20.0,False
0,11,1264,1265,20.0,False
0,11,1273,1274,20.0,False
0,11,1274,1275,20.0,False
0,11,1281,1282,20.0,False
0,11,1282,1283,20.0,False
0,11,1284,1285,20.0,False
0,11,1285,1286,20.0,False
0,11,1286,1287,20.0,False
0,11,1287,1288,20.0,False
0,11,1288,1289,20.0,False
0,11,1289,1290,20.0,False
0,7,1387,1388,20.0,False
0,7,1400,1401,20.0,False
0,7,1401,1402,20.0,False
0,7,1404,1405,20.0,False
0,7,1405,1406,20.0,False
0,11,1411,1412,20.0,False
0,11,1412,1413,20.0,False
0,11,1413,1414,20.0,False
0,11,1415,1416,20.0,False
0,11,1416,1417,20.0,False
0,11,1427,1428,20.0,False
0,11,1433,1434,20.0,False
0,11,1499,1500,20.0,False
0,11,1518,1519,20.0,False
0,11,1521,1522,20.0,False
0,11,1522,1523,20.0,False
0,11,1537,1538,20.0,False
0,11,4342,4343,20.0,False
0,11,4354,4355,20.0,False
0,42,4354,4355,20.0,False
0,11,4373,4374,20.0,False
0,11,4388,4389,20.0,False
0,11,4403,4404,20.0,False
0,11,4404,4405,20.0,False
0,11,4407,4408,20.0,False
0,11,4411,4412,20.0,False
0,11,4412,4413,20.0,False
0,11,4445,4446,20.0,False
0,11,4450,4451,20.0,False
0,11,4488,4489,20.0,False
0,11,4489,4490,20.0,False
0,11,4492,4493,20.0,False
0,11,4501,4502,20.0,False
0,11,4526,4527,20.0,False
0,11,4527,4528,20.0,False
0,11,4562,4563,20.0,False
0,11,4570,4571,20.0,False
0,11,4571,4572,20.0,False
0,11,4587,4588,20.0,False
0,11,4602,4603,20.0,False
